customer_id,name,location,,,,,,,,,,,,,,,,,,,,,,,
1,Ivana Chander,Delhi,,,,,,,,,,,,,,,,,,,,,,,
2,Charvi Kibe,Chennai,,,,,,,,,,,,,,,,,,,,,,,
3,Divij Chaudry,Chennai,,,,,,,,,,,,,,,,,,,,,,,
4,Charvi Balay,Pune,,,,,,,,,,,,,,,,,,,,,,,
5,Diya Arya,Pune,,,,,,,,,,,,,,,,,,,,,,,
6,Dhruv Cherian,Chennai,,,,,,,,,,,,,,,,,,,,,,,
7,Myra Dubey,Chennai,,,,,,,,,,,,,,,,,,,,,,,
8,Advika Wable,Delhi,,,,,,,,,,,,,,,,,,,,,,,
9,Aarna Samra,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,
10,Ahana  Ray,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,
11,Tanya Baria,Lucknow,,,,,,,,,,,,,,,,,,,,,,,
12,Kismat Sangha,Kolkata,,,,,,,,,,,,,,,,,,,,,,,
13,Lakshit Walia,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,
14,Jayant Yohannan,Lucknow,,,,,,,,,,,,,,,,,,,,,,,
15,Jivika Tiwari,Delhi,,,,,,,,,,,,,,,,,,,,,,,
16,Adira Bhargava,Jaipur,,,,,,,,,,,,,,,,,,,,,,,
17,Rhea Issac,Jaipur,,,,,,,,,,,,,,,,,,,,,,,
18,Rasha Sarna,Jaipur,,,,,,,,,,,,,,,,,,,,,,,
19,Sahil Chaudhary,Pune,,,,,,,,,,,,,,,,,,,,,,,
20,Shamik Mannan,Pune,,,,,,,,,,,,,,,,,,,,,,,
21,Rati Jayaraman,Lucknow,,,,,,,,,,,,,,,,,,,,,,,
22,Hiran Deo,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,
23,Shayak Chokshi,Chennai,,,,,,,,,,,,,,,,,,,,,,,
24,Samar Sharaf,Mumbai,,,,,,,,,,,,,,,,,,,,,,,
25,Miraya Bora,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,
